date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:25	26/26	---M--	200	added ('OK')	text/plain	date:Tue,%2001%20Sep%202020%2008:52:27%20GMT	https://dtpainting.wpengine.com/robots.txt		(from )
14:22:26	95336/95336	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2008:52:27%20GMT	https://dtpainting.wpengine.com/	C:/xampp/htdocs/testpaintwebite/dtpainting.wpengine.com/index.html	(from )
14:22:32	820591/820591	---MCZ	200	added ('OK')	text/css	etag:W/%225f4d0010-c856f%22	http://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/cache/asset-cleanup/css/head-33b48127fac65391232ffca1b28d6cb3f422f544.css	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/cache/asset-cleanup/css/head-33b48127fac65391232ffca1b28d6cb3f422f544.css	(from https://dtpainting.wpengine.com/)
14:22:34	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cde37d2-17a69%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-includes/js/jquery/jquery4a5f.js	(from https://dtpainting.wpengine.com/)
14:22:35	117607/117607	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e96ab25-1cb67%22	http://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/cache/asset-cleanup/js/item/layerslider-greensock-v1.19.0-0fe9f52c3c351c06f5cdb80f86d1aa70a52c4140.js	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/cache/asset-cleanup/js/item/layerslider-greensock-v1.19.0-0fe9f52c3c351c06f5cdb80f86d1aa70a52c4140.js	(from https://dtpainting.wpengine.com/)
14:22:35	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://dtpainting.wpengine.com/)
14:22:36	6791/6791	---M--	200	added ('OK')	image/png	etag:%225dc6b566-1a87%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/cropped-favicon-192x192.png	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/cropped-favicon-192x192.png	(from https://dtpainting.wpengine.com/)
14:22:37	9589/9589	---M--	200	added ('OK')	image/png	etag:%225dc6b566-2575%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/cropped-favicon-180x180.png	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/cropped-favicon-180x180.png	(from https://dtpainting.wpengine.com/)
14:22:37	23359/23359	---M--	200	added ('OK')	image/gif	etag:%225dc6b587-5b3f%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/loader.gif	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/loader.gif	(from https://dtpainting.wpengine.com/)
14:22:37	1273/1273	---M--	200	added ('OK')	image/png	etag:%225dc6b59f-4f9%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/picker-icon.png	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/picker-icon.png	(from https://dtpainting.wpengine.com/)
14:22:37	1220/1220	---M--	200	added ('OK')	image/jpeg	etag:%225dc6b5b0-4c4%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/patterns/pattern4.jpg	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/patterns/pattern4.jpg	(from https://dtpainting.wpengine.com/)
14:22:38	1219/1219	---M--	200	added ('OK')	image/jpeg	etag:%225dc6b5b0-4c3%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/patterns/pattern19.jpg	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/patterns/pattern19.jpg	(from https://dtpainting.wpengine.com/)
14:22:38	1156/1156	---M--	200	added ('OK')	image/jpeg	etag:%225dc6b5b0-484%22	https://3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/patterns/pattern6.jpg	C:/xampp/htdocs/testpaintwebite/3put9a43ycne3koyi63vujgg-wpengine.netdna-ssl.com/wp-content/themes/painting/images/style-picker/patterns/pattern6.jpg	(from https://dtpainting.wpengine.com/)
